proteinA	proteinB
id_1996	id_2074
id_896	id_1419
id_2304	id_144
id_1961	id_152
id_2256	id_1793
id_2106	id_856
id_205	id_99
id_2388	id_1414
id_2220	id_2714
id_396	id_95
id_1075	id_2377
id_1651	id_2260
id_161	id_2824
id_1942	id_1246
id_1961	id_1731
id_247	id_2600
id_1996	id_2003
id_305	id_665
id_1651	id_1731
id_679	id_1006
id_1075	id_92
id_2663	id_575
id_2395	id_621
id_294	id_446
id_896	id_2257
id_1871	id_2488
id_2002	id_582
id_1324	id_103
id_1258	id_722
id_2365	id_1266
id_952	id_968
id_486	id_2686
id_949	id_1134
id_1480	id_722
id_2680	id_446
id_623	id_1834
id_2503	id_2022
id_1412	id_1414
id_908	id_1702
id_247	id_37
id_2460	id_2714
id_2483	id_1750
id_1286	id_598
id_1026	id_1866
id_2654	id_2251
id_1862	id_26
id_2256	id_789
id_1845	id_687
id_710	id_1340
id_850	id_534
id_1275	id_365
id_184	id_830
id_2832	id_1426
id_235	id_2559
id_303	id_46
id_2503	id_1145
id_486	id_1611
id_1237	id_1530
id_2830	id_1240
id_758	id_92
id_2051	id_2252
id_1775	id_2022
id_2447	id_1665
id_679	id_70
id_360	id_2723
id_1790	id_1983
id_2717	id_432
id_97	id_1750
id_2725	id_116
id_2397	id_1749
id_1830	id_18
id_774	id_2502
id_1829	id_1507
id_2393	id_1894
id_2361	id_1868
id_1945	id_567
id_2002	id_233
id_277	id_1388
id_1282	id_2549
id_669	id_264
id_893	id_516
id_1362	id_1426
id_1480	id_2073
id_9	id_2113
id_2196	id_2757
id_1115	id_1530
id_660	id_113
id_1038	id_95
id_1922	id_278
id_1830	id_830
id_2483	id_2492
id_1160	id_973
id_1755	id_584
id_2636	id_1894
id_2432	id_2252
id_1198	id_2744
id_1282	id_584
id_2273	id_2613
id_212	id_2068
id_949	id_1303
id_1589	id_2311
id_710	id_735
id_2636	id_1472
id_2743	id_1702
id_1755	id_1644
id_277	id_1665
id_1971	id_2701
id_1616	id_2113
id_1184	id_1798
id_629	id_51
id_2335	id_2675
id_1248	id_2723
id_1948	id_693
id_1876	id_1725
id_2051	id_992
id_2388	id_2421
id_286	id_1145
id_945	id_2163
id_427	id_432
id_2150	id_820
id_710	id_1866
id_886	id_1132
id_1357	id_1774
id_619	id_2022
id_2150	id_996
id_2360	id_2775
id_303	id_735
id_757	id_2006
id_2393	id_1562
id_265	id_1409
id_9	id_987
id_984	id_103
id_570	id_1698
id_1561	id_1796
id_897	id_1681
id_2342	id_1266
id_2830	id_2312
id_2304	id_13
id_898	id_198
id_679	id_2599
id_1071	id_285
id_1839	id_534
id_758	id_1774
id_1157	id_1793
id_2363	id_2464
id_396	id_820
id_1839	id_2430
id_2393	id_2125
id_479	id_973
id_150	id_2068
id_2530	id_1451
id_1317	id_13
id_2363	id_2068
id_215	id_269
id_978	id_254
id_1115	id_1507
id_2717	id_2424
id_2155	id_1943
id_1512	id_1391
id_896	id_2108
id_1235	id_2787
id_1971	id_316
id_1839	id_2363
id_949	id_2464
id_1287	id_1449
id_1502	id_735
id_585	id_665
id_146	id_789
id_981	id_2701
id_949	id_676
id_2419	id_1218
id_682	id_2368
id_2051	id_1388
id_737	id_968
id_518	id_1504
id_774	id_1355
id_191	id_968
id_2335	id_621
id_1651	id_2464
id_212	id_2531
id_2348	id_133
id_2813	id_2226
id_806	id_875
id_191	id_1931
id_2813	id_520
id_1871	id_2075
id_2237	id_1931
id_2308	id_1468
id_570	id_2613
id_908	id_1931
id_917	id_1011
id_2818	id_567
id_225	id_421
id_2083	id_516
id_2355	id_151
id_2101	id_791
id_1392	id_1675
id_1571	id_1472
id_1362	id_253
id_1945	id_575
id_1071	id_1507
id_517	id_95
id_669	id_668
id_236	id_1892
id_2508	id_687
id_1392	id_2075
id_908	id_307
id_779	id_982
id_427	id_1834
id_461	id_2006
id_736	id_131
id_146	id_1611
id_1746	id_2702
id_1048	id_2474
id_985	id_2546
id_9	id_1468
id_518	id_687
id_479	id_2069
id_757	id_2714
id_800	id_1272
id_2086	id_2599
id_2706	id_2745
id_2725	id_365
id_2353	id_712
id_1412	id_1388
id_1971	id_1486
id_139	id_1731
id_1317	id_2711
id_2220	id_2686
id_223	id_1796
id_427	id_1139
id_2263	id_641
id_2283	id_2163
id_2447	id_2257
id_2348	id_2474
id_908	id_1103
id_704	id_856
id_461	id_13
id_2679	id_534
id_2308	id_2115
id_2470	id_1685
id_1536	id_198
id_1029	id_2711
id_1566	id_483
id_952	id_1644
id_988	id_2141
id_896	id_846
id_1807	id_1793
id_462	id_1793
id_2754	id_2638
id_360	id_160
id_2503	id_1340
id_768	id_2638
id_1688	id_1103
id_768	id_1388
id_2150	id_2364
id_597	id_738
id_215	id_968
id_2308	id_269
id_497	id_198
id_139	id_1145
id_146	id_2417
id_1952	id_446
id_779	id_2311
id_1616	id_1740
id_1747	id_2784
id_924	id_2488
id_580	id_2226
id_2508	id_996
id_1038	id_2488
id_1323	id_996
id_1195	id_940
id_360	id_2474
id_1971	id_1793
id_1146	id_1006
id_814	id_669
id_2663	id_793
id_2770	id_1139
id_985	id_584
id_384	id_203
id_779	id_203
id_212	id_2792
id_522	id_1665
id_417	id_198
id_2398	id_143
id_2470	id_2492
id_1038	id_2531
id_2501	id_1303
id_1287	id_2559
id_1747	id_2093
id_896	id_1685
id_320	id_2260
id_945	id_472
id_1222	id_253
id_1198	id_1796
id_515	id_170
id_215	id_1740
id_623	id_2787
id_265	id_298
id_1324	id_2459
id_839	id_13
id_2679	id_1484
id_1071	id_534
id_1282	id_992
id_2636	id_2338
id_2610	id_1868
id_1651	id_1451
id_945	id_575
id_978	id_1484
id_515	id_1364
id_2335	id_499
id_2109	id_1426
id_1837	id_269
id_1286	id_2430
id_396	id_875
id_2636	id_2798
id_76	id_2745
id_1038	id_2092
id_1807	id_940
id_360	id_2163
id_2517	id_1731
id_995	id_1127
id_1029	id_51
id_2447	id_2391
id_2517	id_1419
id_225	id_1006
id_1536	id_652
id_291	id_1814
id_1075	id_2757
id_2506	id_2711
id_737	id_820
id_2002	id_2037
id_1113	id_2695
id_2818	id_2320
id_2304	id_1796
id_1286	id_446
id_1397	id_936
id_363	id_188
id_597	id_307
id_2398	id_253
id_758	id_1355
id_886	id_2744
id_384	id_2173
id_2601	id_1527
id_682	id_233
id_1862	id_95
id_779	id_1006
id_1275	id_1006
id_462	id_1886
id_1490	id_2763
id_1496	id_2389
id_1566	id_1202
id_597	id_401
id_916	id_830
id_2689	id_449
id_2432	id_598
id_2503	id_1725
id_719	id_231
id_305	id_822
id_478	id_851
id_660	id_856
id_1284	id_2068
id_1455	id_153
id_2326	id_2329
id_660	id_2600
id_1693	id_1340
id_1287	id_1740
id_1945	id_516
id_794	id_1464
id_1362	id_1134
id_2630	id_1926
id_247	id_2311
id_985	id_2226
id_737	id_1236
id_184	id_1472
id_2470	id_99
id_1235	id_37
id_611	id_2337
id_1971	id_306
id_1392	id_1654
id_139	id_316
id_1052	id_1943
id_896	id_143
id_1323	id_1892
id_1323	id_1271
id_2483	id_2701
id_1871	id_2787
id_1490	id_1366
id_2754	id_918
id_2432	id_18
id_737	id_1366
id_1362	id_987
id_1186	id_2667
id_1470	id_2757
id_1113	id_1724
id_161	id_1325
id_191	id_401
id_1258	id_2421
id_2813	id_435
id_2470	id_483
id_2365	id_687
id_235	id_2638
id_1324	id_1419
id_2694	id_307
id_1434	id_1132
id_865	id_116
id_2086	id_534
id_2220	id_1530
id_294	id_1731
id_235	id_1419
id_212	id_46
id_2725	id_2792
id_2637	id_620
id_2706	id_2380
id_1362	id_1409
id_827	id_2022
id_850	id_987
id_146	id_936
id_1324	id_676
id_1920	id_1611
id_157	id_449
id_619	id_170
id_1862	id_2001
id_396	id_1665
id_2196	id_2775
id_831	id_1413
id_2371	id_1426
id_517	id_152
id_2487	id_2301
id_2196	id_233
id_2601	id_1484
id_570	id_1507
id_1222	id_1912
id_1536	id_2301
id_2832	id_820
id_1574	id_1419
id_247	id_2003
id_1862	id_2549
id_2487	id_718
id_459	id_46
id_1860	id_582
id_1434	id_1943
id_157	id_990
id_1998	id_2599
id_2327	id_1388
id_2361	id_2108
id_1920	id_2459
id_1574	id_432
id_1029	id_936
id_580	id_2025
id_146	id_584
id_2127	id_2459
id_415	id_1445
id_2315	id_2798
id_2120	id_2492
id_1837	id_2558
id_294	id_160
id_2326	id_2320
id_908	id_36
id_530	id_1449
id_2342	id_820
id_1157	id_990
id_570	id_2576
id_265	id_846
id_478	id_131
id_1996	id_1725
id_629	id_968
id_2218	id_2033
id_1025	id_291
id_2273	id_1983
id_1075	id_528
id_2353	id_1402
id_1920	id_1419
id_189	id_46
id_2789	id_1892
id_2460	id_2775
id_850	id_722
id_1029	id_1132
id_841	id_2737
id_2026	id_2775
id_1561	id_2125
id_1026	id_231
id_2170	id_51
id_1324	id_1774
id_2155	id_434
id_2304	id_71
id_757	id_70
id_1071	id_1145
id_360	id_203
id_2630	id_1943
id_396	id_2824
id_1198	id_92
id_1853	id_722
id_277	id_2723
id_1798	id_675
id_2770	id_2492
id_417	id_584
id_1496	id_665
id_343	id_1202
id_2275	id_2436
id_1248	id_2549
id_768	id_188
id_1394	id_1794
id_1746	id_1266
id_1237	id_2337
id_1222	id_1702
id_893	id_791
id_1616	id_2320
id_893	id_1868
id_2106	id_168
id_2275	id_402
id_518	id_285
id_2088	id_2313
id_2218	id_2558
id_2088	id_424
id_486	id_1983
id_1434	id_2824
id_215	id_283
id_1829	id_2502
id_479	id_1006
id_1287	id_1814
id_2632	id_2763
id_223	id_2464
id_1996	id_168
id_1496	id_1926
id_1861	id_435
id_2706	id_1426
id_247	id_2474
id_2689	id_784
id_1286	id_1698
id_2002	id_2798
id_2109	id_2368
id_1286	id_2695
id_1239	id_1814
id_806	id_2436
id_2353	id_1116
id_1574	id_2173
id_1643	id_1134
id_384	id_1445
id_2832	id_990
id_2051	id_233
id_654	id_1813
id_2694	id_1886
id_779	id_1256
id_2106	id_665
id_1853	id_116
id_1282	id_2118
id_1747	id_375
id_1830	id_446
id_1317	id_2436
id_343	id_1675
id_995	id_2546
id_865	id_285
id_1861	id_483
id_930	id_13
id_2654	id_1236
id_736	id_1721
id_2259	id_722
id_1948	id_170
id_850	id_2714
id_1284	id_830
id_1157	id_1266
id_768	id_936
id_2397	id_1774
id_2680	id_1145
id_1561	id_365
id_1996	id_609
id_1115	id_1912
id_1069	id_2480
id_827	id_2391
id_2127	id_2380
id_86	id_773
id_2398	id_1740
id_880	id_153
id_719	id_2022
id_1829	id_2464
id_844	id_2488
id_1163	id_1416
id_497	id_99
id_2487	id_575
id_2256	id_1366
id_2196	id_499
id_1862	id_439
id_2501	id_621
id_2237	id_609
id_497	id_1892
id_2447	id_2744
id_2342	id_424
id_396	id_2141
id_2283	id_1654
id_1574	id_2377
id_2789	id_1295
id_157	id_2798
id_1201	id_2337
id_76	id_2022
id_1115	id_203
id_865	id_298
id_303	id_1355
id_1075	id_791
id_1067	id_2695
id_461	id_51
id_462	id_1366
id_1239	id_621
id_2250	id_957
id_1160	id_1233
id_995	id_2686
id_2830	id_46
id_161	id_2787
id_1643	id_2073
id_150	id_1743
id_479	id_424
id_2610	id_13
id_191	id_789
id_1829	id_1353
id_952	id_2252
id_794	id_253
id_2419	id_1416
id_2483	id_2417
id_286	id_2480
id_624	id_2512
id_1201	id_990
id_1845	id_170
id_517	id_712
id_679	id_1353
id_86	id_449
id_1861	id_1983
id_384	id_2668
id_1258	id_2364
id_806	id_322
id_2326	id_198
id_2601	id_982
id_1747	id_567
id_1651	id_2824
id_1434	id_2320
id_1837	id_1329
id_1258	id_2459
id_2832	id_1127
id_1040	id_152
id_879	id_1413
id_2334	id_1426
id_1574	id_667
id_2334	id_231
id_1123	id_1266
id_1643	id_188
id_2460	id_71
id_139	id_1654
id_1998	id_2638
id_1829	id_151
id_2228	id_375
id_2530	id_2436
id_1069	id_298
id_2404	id_144
id_1146	id_2075
id_2283	id_718
id_1502	id_1402
id_2517	id_2226
id_719	id_92
id_1239	id_1303
id_76	id_2391
id_2760	id_2226
id_2487	id_2025
id_90	id_2668
id_1052	id_676
id_2388	id_483
id_916	id_940
id_2708	id_2430
id_1115	id_1943
id_1502	id_621
id_157	id_2037
id_2395	id_1931
id_1394	id_2068
id_139	id_1236
id_1502	id_2226
id_916	id_233
id_623	id_2069
id_2170	id_2337
id_76	id_483
id_1029	id_1931
id_2654	id_2075
id_191	id_168
id_1643	id_1325
id_1146	id_1486
id_277	id_1731
id_758	id_402
id_396	id_439
id_1536	id_1416
id_2770	id_316
id_1837	id_621
id_415	id_1912
id_1235	id_1507
id_384	id_1414
id_2304	id_103
id_1126	id_676
id_2818	id_1006
id_1920	id_1084
id_2827	id_1530
id_710	id_1774
id_1952	id_2252
id_2663	id_92
id_1123	id_2430
id_1480	id_1176
id_1643	id_472
id_2632	id_2313
id_597	id_1161
id_1123	id_123
id_2654	id_2320
id_265	id_489
id_2112	id_1930
id_2758	id_143
id_1392	id_285
id_1071	id_2787
id_2467	id_606
id_1146	id_1116
id_2170	id_2436
id_806	id_70
id_1876	id_1303
id_9	id_160
id_1284	id_2163
id_1490	id_1562
id_2112	id_2488
id_930	id_1388
id_459	id_168
id_265	id_2301
id_1862	id_1176
id_478	id_1943
id_2610	id_987
id_1287	id_231
id_2508	id_1139
id_2326	id_1176
id_570	id_198
id_945	id_2113
id_1746	id_744
id_303	id_2046
id_2610	id_2668
id_2088	id_2480
id_660	id_1987
id_2237	id_2714
id_282	id_2338
id_660	id_2073
id_689	id_306
id_2334	id_26
id_265	id_51
id_112	id_2001
id_150	id_133
id_1942	id_2599
id_1326	id_2001
id_2758	id_1472
id_1871	id_1930
id_2088	id_203
id_2355	id_1295
id_880	id_665
id_2120	id_1976
id_427	id_1930
id_898	id_151
id_1860	id_1912
id_2371	id_2667
id_570	id_1504
id_2830	id_968
id_2506	id_18
id_188	id_2006
id_758	id_2668
id_2506	id_2714
id_1651	id_1530
id_156	id_434
id_2637	id_1464
id_1837	id_1006
id_995	id_424
id_2353	id_2551
id_796	id_1794
id_223	id_152
id_2832	id_2391
id_384	id_738
id_630	id_598
id_841	id_51
id_478	id_1731
id_2275	id_1388
id_1830	id_2701
id_1790	id_70
id_2256	id_1132
id_1945	id_2492
id_1490	id_1202
id_1239	id_1725
id_1862	id_1127
id_1561	id_1445
id_839	id_1419
id_479	id_1987
id_459	id_575
id_150	id_1983
id_1485	id_2068
id_1368	id_2117
id_1115	id_1271
id_2335	id_830
id_2026	id_1654
id_461	id_918
id_2086	id_2312
id_757	id_1685
id_146	id_1530
id_2120	id_738
id_978	id_2424
id_2289	id_2737
id_191	id_1527
id_1284	id_2480
id_2250	id_46
id_1317	id_1355
id_363	id_609
id_2398	id_1134
id_794	id_71
id_995	id_1402
id_1942	id_620
id_623	id_2311
id_2101	id_987
id_2770	id_1011
id_2315	id_936
id_2632	id_2377
id_291	id_789
id_479	id_1240
id_1160	id_1930
id_2754	id_71
id_2363	id_1176
id_2083	id_1218
id_2397	id_434
id_2694	id_1202
id_1201	id_1665
id_360	id_1364
id_1201	id_2430
id_2813	id_2073
id_2026	id_2757
id_2220	id_401
id_2770	id_2668
id_2395	id_1930
id_624	id_2329
id_649	id_722
id_2327	id_791
id_1026	id_2257
id_679	id_1236
id_2196	id_918
id_1123	id_2531
id_1038	id_1868
id_155	id_1611
id_2371	id_982
id_2827	id_1725
id_719	id_1236
id_343	id_652
id_1952	id_1464
id_1790	id_2252
id_459	id_365
id_2636	id_1468
id_343	id_534
id_758	id_793
id_1151	id_1943
id_1248	id_830
id_2717	id_1793
id_2361	id_1698
id_1126	id_2329
id_2237	id_665
id_1163	id_722
id_1971	id_2226
id_2218	id_1303
id_758	id_784
id_2372	id_665
id_247	id_1084
id_1362	id_773
id_1244	id_2492
id_2228	id_1413
id_2112	id_1740
id_2447	id_369
id_97	id_1233
id_2107	id_1119
id_774	id_744
id_2679	id_432
id_2393	id_2313
id_486	id_609
id_1747	id_1758
id_2397	id_2576
id_9	id_784
id_1536	id_567
id_2361	id_1011
id_2289	id_744
id_189	id_425
id_112	id_1504
id_2467	id_1665
id_1258	id_2069
id_1121	id_1132
id_896	id_1236
id_161	id_1527
id_1043	id_2744
id_1942	id_153
id_2637	id_233
